iter	Passed	Remaining
0	56	56833
1	62	31188
2	67	22396
3	71	17890
4	76	15306
5	87	14483
6	92	13102
7	95	11870
8	102	11320
9	107	10653
10	115	10410
11	123	10205
12	128	9723
13	134	9484
14	138	9080
15	142	8779
16	146	8490
17	155	8479
18	158	8195
19	163	7991
20	167	7801
21	171	7610
22	174	7410
23	177	7236
24	183	7139
25	186	6987
26	190	6852
27	195	6773
28	201	6731
29	210	6814
30	215	6728
31	218	6613
32	222	6510
33	226	6449
34	230	6368
35	234	6274
36	237	6183
37	242	6142
38	246	6085
39	250	6009
40	253	5939
41	257	5880
42	263	5853
43	266	5787
44	270	5737
45	275	5709
46	278	5653
47	282	5598
48	285	5542
49	290	5525
50	294	5486
51	298	5440
52	301	5392
53	307	5394
54	311	5355
55	315	5324
56	319	5283
57	325	5280
58	328	5238
59	331	5200
60	335	5160
61	340	5156
62	344	5117
63	347	5081
64	351	5052
65	356	5048
66	361	5030
67	364	4998
68	367	4965
69	373	4963
70	377	4943
71	381	4911
72	384	4878
73	390	4880
74	393	4852
75	396	4822
76	399	4793
77	405	4788
78	408	4766
79	412	4738
80	415	4712
81	421	4713
82	424	4685
83	428	4670
84	431	4643
85	436	4641
86	440	4617
87	443	4593
88	446	4570
89	452	4570
90	455	4546
91	458	4523
92	461	4500
93	465	4490
94	470	4481
95	473	4457
96	476	4435
97	481	4429
98	485	4416
99	488	4398
100	491	4377
101	494	4357
102	500	4361
103	503	4340
104	507	4324
105	510	4305
106	515	4303
107	518	4283
108	521	4265
109	524	4246
110	531	4254
111	534	4238
112	538	4225
113	541	4208
114	547	4211
115	550	4192
116	552	4171
117	556	4161
118	561	4154
119	564	4139
120	567	4125
121	570	4108
122	573	4092
123	579	4096
124	582	4079
125	585	4064
126	590	4057
127	595	4057
128	599	4050
129	603	4035
130	606	4020
131	612	4025
132	615	4011
133	617	3993
134	620	3978
135	626	3978
136	629	3964
137	632	3950
138	635	3937
139	639	3926
140	643	3919
141	647	3909
142	650	3896
143	653	3883
144	658	3883
145	661	3869
146	664	3855
147	668	3846
148	673	3845
149	677	3837
150	680	3826
151	683	3815
152	690	3820
153	693	3810
154	696	3798
155	699	3786
156	705	3786
157	708	3775
158	711	3763
159	714	3751
160	719	3751
161	721	3734
162	724	3722
163	727	3710
164	730	3698
165	735	3694
166	738	3685
167	741	3674
168	744	3663
169	749	3658
170	753	3654
171	756	3643
172	759	3631
173	762	3620
174	767	3617
175	770	3606
176	773	3595
177	776	3583
178	779	3576
179	785	3576
180	787	3565
181	791	3556
182	794	3545
183	798	3542
184	801	3533
185	805	3523
186	809	3518
187	812	3508
188	816	3505
189	821	3500
190	827	3502
191	832	3503
192	836	3497
193	839	3488
194	842	3478
195	847	3476
196	850	3465
197	854	3460
198	857	3451
199	860	3442
200	866	3444
201	869	3435
202	872	3426
203	875	3417
204	881	3416
205	884	3409
206	887	3400
207	890	3390
208	895	3387
209	898	3378
210	901	3369
211	907	3373
212	916	3386
213	924	3395
214	932	3405
215	938	3406
216	947	3417
217	955	3425
218	961	3430
219	964	3420
220	967	3410
221	970	3401
222	976	3401
223	979	3392
224	982	3383
225	985	3375
226	990	3372
227	993	3363
228	996	3354
229	999	3345
230	1002	3338
231	1008	3337
232	1010	3327
233	1014	3319
234	1017	3311
235	1022	3311
236	1026	3304
237	1030	3299
238	1033	3290
239	1038	3289
240	1041	3281
241	1046	3278
242	1049	3269
243	1054	3268
244	1057	3260
245	1061	3252
246	1064	3246
247	1069	3241
248	1072	3235
249	1076	3228
250	1079	3219
251	1081	3211
252	1087	3210
